Iteration #, Size of Array, Time (Seconds)
1, 500, 0.02
2, 1000, 0.15
3, 1500, 0.52
4, 2000, 1.20
5, 2500, 2.35
6, 3000, 4.07
7, 3500, 6.44
8, 4000, 9.60
9, 4500, 13.67
10, 5000, 18.75
