Iteration #, Size of Array, Time (Seconds)
1, 500, 0.02
2, 1000, 0.15
3, 1500, 0.53
4, 2000, 1.25
5, 2500, 2.41
6, 3000, 4.17
7, 3500, 6.60
8, 4000, 9.84
9, 4500, 14.02
10, 5000, 19.21
