Step #, Size of Array, Size of Tiles, Time (Seconds), Error
atlas, 500, 48, 0.02000, 0.000000e+00
my_dgemm, 500, 48, 0.12000, 7.217074e-16
step01, 500, 48, 0.06000, 7.217074e-16
step02, 500, 48, 0.06000, 7.217074e-16
step03, 500, 48, 0.08000, 7.217074e-16
step04, 500, 48, 0.10000, 7.217074e-16
step05, 500, 48, 0.04000, 7.217074e-16
atlas, 1000, 48, 0.15000, 0.000000e+00
my_dgemm, 1000, 48, 6.39000, 1.293065e-15
step01, 1000, 48, 0.55000, 1.293065e-15
step02, 1000, 48, 0.52000, 1.293065e-15
step03, 1000, 48, 0.62000, 1.293065e-15
step04, 1000, 48, 0.81000, 1.293065e-15
step05, 1000, 48, 0.39000, 1.293065e-15
atlas, 1500, 48, 0.51000, 0.000000e+00
my_dgemm, 1500, 48, 22.52000, 1.895882e-15
step01, 1500, 48, 1.86000, 1.895882e-15
step02, 1500, 48, 1.81000, 1.895882e-15
step03, 1500, 48, 2.14000, 1.895882e-15
step04, 1500, 48, 2.75000, 1.895882e-15
step05, 1500, 48, 1.38000, 1.895882e-15
atlas, 2000, 48, 1.18000, 0.000000e+00
my_dgemm, 2000, 48, 60.96000, 3.054004e-15
step01, 2000, 48, 4.42000, 3.054004e-15
step02, 2000, 48, 4.24000, 3.054004e-15
step03, 2000, 48, 5.06000, 3.054004e-15
step04, 2000, 48, 6.51000, 3.054004e-15
step05, 2000, 48, 3.09000, 3.054004e-15
atlas, 2500, 48, 2.30000, 0.000000e+00
my_dgemm, 2500, 48, 126.30000, 4.163602e-15
step01, 2500, 48, 8.67000, 4.163602e-15
step02, 2500, 48, 8.31000, 4.163602e-15
step03, 2500, 48, 9.76000, 4.163602e-15
step04, 2500, 48, 12.56000, 4.163602e-15
step05, 2500, 48, 6.09000, 4.163602e-15
atlas, 3000, 48, 3.97000, 0.000000e+00
my_dgemm, 3000, 48, 234.42000, 4.884417e-15
step01, 3000, 48, 15.00000, 4.884417e-15
step02, 3000, 48, 14.35000, 4.884417e-15
step03, 3000, 48, 17.04000, 4.884417e-15
step04, 3000, 48, 21.85000, 4.884417e-15
step05, 3000, 48, 10.45000, 4.884417e-15
atlas, 3500, 48, 6.26000, 0.000000e+00
my_dgemm, 3500, 48, 380.49000, 4.991261e-15
step01, 3500, 48, 24.47000, 4.991261e-15
step02, 3500, 48, 22.76000, 4.991261e-15
step03, 3500, 48, 28.04000, 4.991261e-15
step04, 3500, 48, 35.70000, 4.991261e-15
step05, 3500, 48, 18.17000, 4.991261e-15
atlas, 4000, 48, 9.34000, 0.000000e+00
my_dgemm, 4000, 48, 602.33000, 7.503540e-15
step01, 4000, 48, 38.35000, 7.503540e-15
step02, 4000, 48, 35.71000, 7.503540e-15
step03, 4000, 48, 41.23000, 7.503540e-15
step04, 4000, 48, 53.02000, 7.503540e-15
step05, 4000, 48, 24.99000, 7.503540e-15
atlas, 4500, 48, 13.31000, 0.000000e+00
my_dgemm, 4500, 48, 864.69000, 8.565339e-15
step01, 4500, 48, 53.62000, 8.565339e-15
step02, 4500, 48, 48.27000, 8.565339e-15
step03, 4500, 48, 57.73000, 8.565339e-15
step04, 4500, 48, 73.71000, 8.565339e-15
step05, 4500, 48, 37.32000, 8.565339e-15
atlas, 5000, 48, 18.23000, 0.000000e+00
my_dgemm, 5000, 48, 1214.00000, 7.517267e-15
step01, 5000, 48, 73.76000, 7.517267e-15
step02, 5000, 48, 66.47000, 7.517267e-15
step03, 5000, 48, 79.48000, 7.517267e-15
step04, 5000, 48, 101.43000, 7.517267e-15
step05, 5000, 48, 48.32000, 7.517267e-15
