Iteration #, Size of Array, Size of Tiles, Time (Seconds), Error
3, 1500, 40, 13.43000, 0.0000000000
3, 1500, 41, 12.96000, 0.0000000000
3, 1500, 42, 13.37000, 0.0000000000
3, 1500, 43, 12.97000, 0.0000000000
3, 1500, 44, 12.97000, 0.0000000000
3, 1500, 45, 12.94000, 0.0000000000
3, 1500, 46, 12.95000, 0.0000000000
3, 1500, 47, 12.95000, 0.0000000000
3, 1500, 48, 13.00000, 0.0000000000
3, 1500, 49, 12.99000, 0.0000000000
3, 1500, 50, 12.99000, 0.0000000000
3, 1500, 51, 12.97000, 0.0000000000
3, 1500, 52, 12.97000, 0.0000000000
3, 1500, 53, 12.97000, 0.0000000000
3, 1500, 54, 12.98000, 0.0000000000
3, 1500, 55, 12.97000, 0.0000000000
3, 1500, 56, 12.98000, 0.0000000000
3, 1500, 57, 12.98000, 0.0000000000
3, 1500, 58, 12.98000, 0.0000000000
3, 1500, 59, 12.96000, 0.0000000000
3, 1500, 60, 12.97000, 0.0000000000
3, 1500, 61, 12.96000, 0.0000000000
3, 1500, 62, 12.97000, 0.0000000000
3, 1500, 63, 12.97000, 0.0000000000
3, 1500, 64, 12.97000, 0.0000000000
4, 2000, 16, 32.33000, 0.0000000000
4, 2000, 17, 32.00000, 0.0000000000
4, 2000, 18, 32.11000, 0.0000000000
4, 2000, 19, 33.71000, 0.0000000000
4, 2000, 20, 31.93000, 0.0000000000
4, 2000, 21, 31.80000, 0.0000000000
4, 2000, 22, 31.72000, 0.0000000000
4, 2000, 23, 31.64000, 0.0000000000
4, 2000, 24, 31.75000, 0.0000000000
4, 2000, 25, 31.54000, 0.0000000000
4, 2000, 26, 31.42000, 0.0000000000
4, 2000, 27, 31.38000, 0.0000000000
4, 2000, 28, 31.42000, 0.0000000000
4, 2000, 29, 31.23000, 0.0000000000
4, 2000, 30, 31.26000, 0.0000000000
4, 2000, 31, 31.21000, 0.0000000000
4, 2000, 32, 31.12000, 0.0000000000
4, 2000, 33, 32.49000, 0.0000000000
4, 2000, 34, 31.03000, 0.0000000000
4, 2000, 35, 30.96000, 0.0000000000
4, 2000, 36, 30.98000, 0.0000000000
4, 2000, 37, 30.85000, 0.0000000000
4, 2000, 38, 31.96000, 0.0000000000
4, 2000, 39, 30.80000, 0.0000000000
4, 2000, 40, 31.79000, 0.0000000000
4, 2000, 41, 30.73000, 0.0000000000
4, 2000, 42, 31.67000, 0.0000000000
4, 2000, 43, 30.73000, 0.0000000000
4, 2000, 44, 30.75000, 0.0000000000
4, 2000, 45, 30.69000, 0.0000000000
4, 2000, 46, 30.74000, 0.0000000000
4, 2000, 47, 30.75000, 0.0000000000
4, 2000, 48, 30.72000, 0.0000000000
