Iteration #, Size of Array, Time (Seconds)
1, 500, 0.14
2, 1000, 6.75
3, 1500, 23.82
4, 2000, 61.15
5, 2500, 131.19
6, 3000, 241.30
7, 3500, 391.35
8, 4000, 606.56
9, 4500, 895.98
10, 5000, 1231.05
