Step #, Size of Array, Size of Tiles, Time (Seconds), Error
atlas, 500, 48, 0.02000, 0.000000e+00
my_dgemm, 500, 48, 0.14000, 7.217074e-16
step01, 500, 48, 0.09000, 7.217074e-16
step02, 500, 48, 0.08000, 7.217074e-16
step03, 500, 48, 0.07000, 7.217074e-16
step04, 500, 48, 0.10000, 7.217074e-16
step05, 500, 48, 0.04000, 7.217074e-16
atlas, 1000, 48, 0.15000, 0.000000e+00
my_dgemm, 1000, 48, 6.39000, 1.293065e-15
step01, 1000, 48, 0.69000, 1.293065e-15
step02, 1000, 48, 0.67000, 1.293065e-15
step03, 1000, 48, 0.62000, 1.293065e-15
step04, 1000, 48, 0.86000, 1.293065e-15
step05, 1000, 48, 0.38000, 1.293065e-15
atlas, 1500, 48, 0.50000, 0.000000e+00
my_dgemm, 1500, 48, 22.65000, 1.895882e-15
step01, 1500, 48, 2.36000, 1.895882e-15
step02, 1500, 48, 2.31000, 1.895882e-15
step03, 1500, 48, 2.15000, 1.895882e-15
step04, 1500, 48, 2.95000, 1.895882e-15
step05, 1500, 48, 1.37000, 1.895882e-15
atlas, 2000, 48, 1.17000, 0.000000e+00
my_dgemm, 2000, 48, 59.31000, 3.054004e-15
step01, 2000, 48, 5.58000, 3.054004e-15
step02, 2000, 48, 5.44000, 3.054004e-15
step03, 2000, 48, 5.06000, 3.054004e-15
step04, 2000, 48, 6.95000, 3.054004e-15
step05, 2000, 48, 3.08000, 3.054004e-15
atlas, 2500, 48, 2.28000, 0.000000e+00
my_dgemm, 2500, 48, 119.89000, 4.163602e-15
step01, 2500, 48, 10.96000, 4.163602e-15
step02, 2500, 48, 10.65000, 4.163602e-15
step03, 2500, 48, 9.76000, 4.163602e-15
step04, 2500, 48, 13.53000, 4.163602e-15
step05, 2500, 48, 6.04000, 4.163602e-15
atlas, 3000, 48, 3.96000, 0.000000e+00
my_dgemm, 3000, 48, 234.48000, 4.884417e-15
step01, 3000, 48, 18.91000, 4.884417e-15
step02, 3000, 48, 18.38000, 4.884417e-15
step03, 3000, 48, 17.02000, 4.884417e-15
step04, 3000, 48, 23.37000, 4.884417e-15
step05, 3000, 48, 10.44000, 4.884417e-15
atlas, 3500, 48, 6.26000, 0.000000e+00
my_dgemm, 3500, 48, 362.04000, 4.991261e-15
step01, 3500, 48, 29.96000, 4.991261e-15
step02, 3500, 48, 28.43000, 4.991261e-15
step03, 3500, 48, 27.97000, 4.991261e-15
step04, 3500, 48, 37.90000, 4.991261e-15
step05, 3500, 48, 18.04000, 4.991261e-15
atlas, 4000, 48, 9.34000, 0.000000e+00
my_dgemm, 4000, 48, 563.07000, 7.503540e-15
step01, 4000, 48, 44.98000, 7.503540e-15
step02, 4000, 48, 42.46000, 7.503540e-15
step03, 4000, 48, 41.24000, 7.503540e-15
step04, 4000, 48, 56.32000, 7.503540e-15
step05, 4000, 48, 24.94000, 7.503540e-15
atlas, 4500, 48, 13.30000, 0.000000e+00
my_dgemm, 4500, 48, 835.50000, 8.565339e-15
step01, 4500, 48, 65.10000, 8.565339e-15
step02, 4500, 48, 60.27000, 8.565339e-15
step03, 4500, 48, 57.73000, 8.565339e-15
step04, 4500, 48, 79.12000, 8.565339e-15
step05, 4500, 48, 37.03000, 8.565339e-15
atlas, 5000, 48, 18.20000, 0.000000e+00
my_dgemm, 5000, 48, 1139.77000, 7.517267e-15
step01, 5000, 48, 92.79000, 7.517267e-15
step02, 5000, 48, 85.14000, 7.517267e-15
step03, 5000, 48, 79.46000, 7.517267e-15
step04, 5000, 48, 108.61000, 7.517267e-15
step05, 5000, 48, 48.20000, 7.517267e-15
