Iteration #, Size of Array, Time (Seconds)
1, 500, 0.22
2, 1000, 6.94
3, 1500, 24.89
4, 2000, 63.89
5, 2500, 134.74
6, 3000, 253.53
7, 3500, 419.33
8, 4000, 633.46
9, 4500, 968.53
10, 5000, 1341.15
