Iteration #, Size of Array, Size of Tiles, Time (Seconds)
1, 500, 215, 0.48
1, 500, 216, 0.49
1, 500, 217, 0.49
1, 500, 218, 0.49
1, 500, 219, 0.49
1, 500, 220, 0.49
1, 500, 221, 0.48
1, 500, 222, 0.49
1, 500, 223, 0.49
1, 500, 224, 0.49
1, 500, 225, 0.49
1, 500, 226, 0.49
1, 500, 227, 0.49
1, 500, 228, 0.47
1, 500, 229, 0.49
1, 500, 230, 0.49
1, 500, 231, 0.49
1, 500, 232, 0.49
1, 500, 233, 0.49
1, 500, 234, 0.49
1, 500, 235, 0.48
1, 500, 236, 0.49
1, 500, 237, 0.49
1, 500, 238, 0.49
1, 500, 239, 0.49
1, 500, 240, 0.49
1, 500, 241, 0.48
1, 500, 242, 0.48
1, 500, 243, 0.49
1, 500, 244, 0.49
1, 500, 245, 0.49
1, 500, 246, 0.49
1, 500, 247, 0.49
1, 500, 248, 0.49
1, 500, 249, 0.48
2, 1000, 2, 4.20
2, 1000, 3, 3.82
2, 1000, 4, 3.58
2, 1000, 5, 3.48
2, 1000, 6, 3.46
2, 1000, 7, 3.44
2, 1000, 8, 3.47
2, 1000, 9, 3.46
2, 1000, 10, 3.49
2, 1000, 11, 3.55
2, 1000, 12, 3.56
2, 1000, 13, 3.58
2, 1000, 14, 3.58
2, 1000, 15, 3.59
2, 1000, 16, 3.62
2, 1000, 17, 3.61
2, 1000, 18, 3.65
2, 1000, 19, 3.65
2, 1000, 20, 3.84
2, 1000, 21, 3.66
2, 1000, 22, 3.67
2, 1000, 23, 3.68
2, 1000, 24, 3.69
2, 1000, 25, 3.69
2, 1000, 26, 3.70
2, 1000, 27, 3.69
2, 1000, 28, 3.71
2, 1000, 29, 3.71
2, 1000, 30, 3.71
2, 1000, 31, 3.70
2, 1000, 32, 3.73
2, 1000, 33, 3.70
2, 1000, 34, 3.88
2, 1000, 35, 3.74
2, 1000, 36, 3.74
2, 1000, 37, 3.74
2, 1000, 38, 3.75
2, 1000, 39, 3.89
2, 1000, 40, 3.76
2, 1000, 41, 3.87
2, 1000, 42, 3.77
2, 1000, 43, 3.88
2, 1000, 44, 3.77
2, 1000, 45, 3.78
2, 1000, 46, 3.77
2, 1000, 47, 3.77
2, 1000, 48, 3.75
2, 1000, 49, 3.78
2, 1000, 50, 3.79
2, 1000, 51, 3.77
2, 1000, 52, 3.77
2, 1000, 53, 3.78
2, 1000, 54, 3.78
2, 1000, 55, 3.81
2, 1000, 56, 3.78
2, 1000, 57, 3.79
2, 1000, 58, 3.80
2, 1000, 59, 3.80
2, 1000, 60, 3.80
2, 1000, 61, 3.82
2, 1000, 62, 3.80
2, 1000, 63, 3.81
2, 1000, 64, 3.79
2, 1000, 65, 3.80
2, 1000, 66, 3.82
2, 1000, 67, 3.86
2, 1000, 68, 3.81
