Step #, Size of Array, Size of Tiles, Time (Seconds), Error
atlas, 500, 47, 0.02000, 0.0000000000
my_dgemm, 500, 47, 0.30000, 0.0000000000
step01, 500, 47, 0.14000, 0.0000000000
step02, 500, 47, 0.14000, 0.0000000000
step03, 500, 47, 0.11000, 0.0000000000
step04, 500, 47, 0.11000, 0.0000000000
step05, 500, 47, 0.06000, 0.0013849106
atlas, 1000, 47, 0.16000, 0.0000000000
my_dgemm, 1000, 47, 6.55000, 0.0000000000
step01, 1000, 47, 1.19000, 0.0000000000
step02, 1000, 47, 1.20000, 0.0000000000
step03, 1000, 47, 0.97000, 0.0000000000
step04, 1000, 47, 0.88000, 0.0000000000
step05, 1000, 47, 0.49000, 0.0020787774
atlas, 1500, 47, 0.50000, 0.0000000000
my_dgemm, 1500, 47, 23.16000, 0.0000000000
step01, 1500, 47, 4.03000, 0.0000000000
step02, 1500, 47, 4.03000, 0.0000000000
step03, 1500, 47, 3.33000, 0.0000000000
step04, 1500, 47, 2.93000, 0.0000000000
step05, 1500, 47, 1.71000, 0.0011189515
atlas, 2000, 47, 1.17000, 0.0000000000
my_dgemm, 2000, 47, 61.34000, 0.0000000000
step01, 2000, 47, 9.59000, 0.0000000000
step02, 2000, 47, 9.52000, 0.0000000000
step03, 2000, 47, 7.81000, 0.0000000000
step04, 2000, 47, 6.96000, 0.0000000000
step05, 2000, 47, 3.93000, 0.0030868100
atlas, 2500, 47, 2.31000, 0.0000000000
my_dgemm, 2500, 47, 128.92000, 0.0000000000
step01, 2500, 47, 18.83000, 0.0000000000
step02, 2500, 47, 18.81000, 0.0000000000
step03, 2500, 47, 15.26000, 0.0000000000
step04, 2500, 47, 13.62000, 0.0000000000
step05, 2500, 47, 7.70000, 0.0011154530
atlas, 3000, 47, 3.97000, 0.0000000000
my_dgemm, 3000, 47, 234.53000, 0.0000000000
step01, 3000, 47, 32.44000, 0.0000000000
step02, 3000, 47, 32.33000, 0.0000000000
step03, 3000, 47, 26.12000, 0.0000000000
step04, 3000, 47, 23.37000, 0.0000000000
step05, 3000, 47, 13.31000, 0.0019778338
atlas, 3500, 47, 6.28000, 0.0000000000
my_dgemm, 3500, 47, 398.26000, 0.0000000000
step01, 3500, 47, 51.79000, 0.0000000000
step02, 3500, 47, 51.57000, 0.0000000000
step03, 3500, 47, 44.66000, 0.0000000000
step04, 3500, 47, 38.13000, 0.0000000000
step05, 3500, 47, 22.22000, 0.0011002015
atlas, 4000, 47, 9.35000, 0.0000000000
my_dgemm, 4000, 47, 611.01000, 0.0000000000
step01, 4000, 47, 77.82000, 0.0000000000
step02, 4000, 47, 76.06000, 0.0000000000
step03, 4000, 47, 62.20000, 0.0000000000
step04, 4000, 47, 56.37000, 0.0000000000
step05, 4000, 47, 32.14000, 0.0042995451
atlas, 4500, 47, 13.31000, 0.0000000000
my_dgemm, 4500, 47, 915.99000, 0.0000000000
step01, 4500, 47, 111.83000, 0.0000000000
step02, 4500, 47, 109.28000, 0.0000000000
step03, 4500, 47, 89.10000, 0.0000000000
step04, 4500, 47, 79.06000, 0.0000000000
step05, 4500, 47, 46.47000, 0.0010980121
atlas, 5000, 47, 18.24000, 0.0000000000
my_dgemm, 5000, 47, 1261.85000, 0.0000000000
step01, 5000, 47, 156.40000, 0.0000000000
step02, 5000, 47, 149.98000, 0.0000000000
step03, 5000, 47, 121.10000, 0.0000000000
step04, 5000, 47, 108.19000, 0.0000000000
step05, 5000, 47, 61.64000, 0.0019802941
