Step #, Size of Array, Size of Tiles, Time (Seconds), Error
atlas, 500, 48, 0.02000, 0.000000e+00
my_dgemm, 500, 48, 0.59000, 7.217074e-16
step01, 500, 48, 0.48000, 7.217074e-16
step02, 500, 48, 0.48000, 7.217074e-16
step03, 500, 48, 0.37000, 7.217074e-16
step04, 500, 48, 0.32000, 7.217074e-16
step05, 500, 48, 0.26000, 7.217074e-16
atlas, 1000, 48, 0.15000, 0.000000e+00
my_dgemm, 1000, 48, 6.44000, 1.293065e-15
step01, 1000, 48, 3.84000, 1.293065e-15
step02, 1000, 48, 3.87000, 1.293065e-15
step03, 1000, 48, 2.98000, 1.293065e-15
step04, 1000, 48, 2.56000, 1.293065e-15
step05, 1000, 48, 2.18000, 1.293065e-15
atlas, 1500, 48, 0.50000, 0.000000e+00
my_dgemm, 1500, 48, 23.24000, 1.895882e-15
step01, 1500, 48, 12.99000, 1.895882e-15
step02, 1500, 48, 13.00000, 1.895882e-15
step03, 1500, 48, 10.17000, 1.895882e-15
step04, 1500, 48, 8.75000, 1.895882e-15
step05, 1500, 48, 7.43000, 1.895882e-15
atlas, 2000, 48, 1.17000, 0.000000e+00
my_dgemm, 2000, 48, 63.12000, 3.054004e-15
step01, 2000, 48, 30.82000, 3.054004e-15
step02, 2000, 48, 30.97000, 3.054004e-15
step03, 2000, 48, 23.98000, 3.054004e-15
step04, 2000, 48, 20.63000, 3.054004e-15
step05, 2000, 48, 17.57000, 3.054004e-15
atlas, 2500, 48, 2.29000, 0.000000e+00
my_dgemm, 2500, 48, 132.22000, 4.163602e-15
step01, 2500, 48, 60.09000, 4.163602e-15
step02, 2500, 48, 60.08000, 4.163602e-15
step03, 2500, 48, 46.95000, 4.163602e-15
step04, 2500, 48, 40.38000, 4.163602e-15
step05, 2500, 48, 34.21000, 4.163602e-15
atlas, 3000, 48, 3.96000, 0.000000e+00
my_dgemm, 3000, 48, 239.69000, 4.884417e-15
step01, 3000, 48, 103.89000, 4.884417e-15
step02, 3000, 48, 103.98000, 4.884417e-15
step03, 3000, 48, 80.56000, 4.884417e-15
step04, 3000, 48, 69.19000, 4.884417e-15
step05, 3000, 48, 59.37000, 4.884417e-15
atlas, 3500, 48, 6.26000, 0.000000e+00
my_dgemm, 3500, 48, 389.25000, 4.991261e-15
step01, 3500, 48, 165.17000, 4.991261e-15
step02, 3500, 48, 164.35000, 4.991261e-15
step03, 3500, 48, 132.42000, 4.991261e-15
step04, 3500, 48, 111.92000, 4.991261e-15
step05, 3500, 48, 94.65000, 4.991261e-15
atlas, 4000, 48, 9.35000, 0.000000e+00
my_dgemm, 4000, 48, 633.41000, 7.503540e-15
step01, 4000, 48, 248.13000, 7.503540e-15
step02, 4000, 48, 247.80000, 7.503540e-15
step03, 4000, 48, 193.66000, 7.503540e-15
step04, 4000, 48, 166.02000, 7.503540e-15
step05, 4000, 48, 140.89000, 7.503540e-15
atlas, 4500, 48, 13.31000, 0.000000e+00
my_dgemm, 4500, 48, 878.70000, 8.565339e-15
step01, 4500, 48, 354.62000, 8.565339e-15
step02, 4500, 48, 350.34000, 8.565339e-15
step03, 4500, 48, 275.13000, 8.565339e-15
step04, 4500, 48, 235.45000, 8.565339e-15
step05, 4500, 48, 200.42000, 8.565339e-15
atlas, 5000, 48, 18.20000, 0.000000e+00
my_dgemm, 5000, 48, 1240.39000, 7.517267e-15
step01, 5000, 48, 488.11000, 7.517267e-15
step02, 5000, 48, 482.65000, 7.517267e-15
step03, 5000, 48, 372.90000, 7.517267e-15
step04, 5000, 48, 320.96000, 7.517267e-15
step05, 5000, 48, 275.16000, 7.517267e-15
