Step #, Size of Array, Size of Tiles, Time (Seconds), Error
atlas, 500, 48, 0.02000, 0.000000e+00
my_dgemm, 500, 48, 0.30000, 7.217074e-16
step01, 500, 48, 0.15000, 7.217074e-16
step02, 500, 48, 0.15000, 7.217074e-16
step03, 500, 48, 0.12000, 7.217074e-16
step04, 500, 48, 0.11000, 7.217074e-16
step05, 500, 48, 0.05000, 7.217074e-16
atlas, 1000, 48, 0.16000, 0.000000e+00
my_dgemm, 1000, 48, 6.54000, 1.293065e-15
step01, 1000, 48, 1.19000, 1.293065e-15
step02, 1000, 48, 1.17000, 1.293065e-15
step03, 1000, 48, 0.97000, 1.293065e-15
step04, 1000, 48, 0.86000, 1.293065e-15
step05, 1000, 48, 0.41000, 1.293065e-15
atlas, 1500, 48, 0.50000, 0.000000e+00
my_dgemm, 1500, 48, 23.36000, 1.895882e-15
step01, 1500, 48, 4.06000, 1.895882e-15
step02, 1500, 48, 3.95000, 1.895882e-15
step03, 1500, 48, 3.30000, 1.895882e-15
step04, 1500, 48, 3.01000, 1.895882e-15
step05, 1500, 48, 1.45000, 1.895882e-15
atlas, 2000, 48, 1.18000, 0.000000e+00
my_dgemm, 2000, 48, 62.28000, 3.054004e-15
step01, 2000, 48, 9.61000, 3.054004e-15
step02, 2000, 48, 9.36000, 3.054004e-15
step03, 2000, 48, 7.77000, 3.054004e-15
step04, 2000, 48, 7.08000, 3.054004e-15
step05, 2000, 48, 3.33000, 3.054004e-15
atlas, 2500, 48, 2.30000, 0.000000e+00
my_dgemm, 2500, 48, 125.53000, 4.163602e-15
step01, 2500, 48, 18.82000, 4.163602e-15
step02, 2500, 48, 18.23000, 4.163602e-15
step03, 2500, 48, 15.19000, 4.163602e-15
step04, 2500, 48, 13.74000, 4.163602e-15
step05, 2500, 48, 6.51000, 4.163602e-15
atlas, 3000, 48, 3.96000, 0.000000e+00
my_dgemm, 3000, 48, 241.88000, 4.884417e-15
step01, 3000, 48, 32.47000, 4.884417e-15
step02, 3000, 48, 31.61000, 4.884417e-15
step03, 3000, 48, 26.08000, 4.884417e-15
step04, 3000, 48, 23.76000, 4.884417e-15
step05, 3000, 48, 11.22000, 4.884417e-15
atlas, 3500, 48, 6.26000, 0.000000e+00
my_dgemm, 3500, 48, 404.46000, 4.991261e-15
step01, 3500, 48, 51.69000, 4.991261e-15
step02, 3500, 48, 49.97000, 4.991261e-15
step03, 3500, 48, 43.36000, 4.991261e-15
step04, 3500, 48, 38.76000, 4.991261e-15
step05, 3500, 48, 19.33000, 4.991261e-15
atlas, 4000, 48, 9.34000, 0.000000e+00
my_dgemm, 4000, 48, 637.69000, 7.503540e-15
step01, 4000, 48, 78.01000, 7.503540e-15
step02, 4000, 48, 74.54000, 7.503540e-15
step03, 4000, 48, 61.86000, 7.503540e-15
step04, 4000, 48, 57.07000, 7.503540e-15
step05, 4000, 48, 26.68000, 7.503540e-15
atlas, 4500, 48, 13.30000, 0.000000e+00
my_dgemm, 4500, 48, 930.11000, 8.565339e-15
step01, 4500, 48, 112.20000, 8.565339e-15
step02, 4500, 48, 106.70000, 8.565339e-15
step03, 4500, 48, 89.05000, 8.565339e-15
step04, 4500, 48, 80.19000, 8.565339e-15
step05, 4500, 48, 39.34000, 8.565339e-15
atlas, 5000, 48, 18.21000, 0.000000e+00
my_dgemm, 5000, 48, 1278.69000, 7.517267e-15
step01, 5000, 48, 155.66000, 7.517267e-15
step02, 5000, 48, 146.24000, 7.517267e-15
step03, 5000, 48, 120.58000, 7.517267e-15
step04, 5000, 48, 109.74000, 7.517267e-15
step05, 5000, 48, 51.35000, 7.517267e-15
