Step #, Size of Array, Size of Tiles, Time (Seconds), Error
atlas, 500, 48, 0.01000, 0.000000e+00
my_dgemm, 500, 48, 0.14000, 7.217074e-16
step01, 500, 48, 0.10000, 7.217074e-16
step02, 500, 48, 0.09000, 7.217074e-16
step03, 500, 48, 0.11000, 7.217074e-16
step04, 500, 48, 0.10000, 7.217074e-16
step05, 500, 48, 0.05000, 7.217074e-16
atlas, 1000, 48, 0.15000, 0.000000e+00
my_dgemm, 1000, 48, 6.39000, 1.293065e-15
step01, 1000, 48, 0.75000, 1.293065e-15
step02, 1000, 48, 0.75000, 1.293065e-15
step03, 1000, 48, 0.89000, 1.293065e-15
step04, 1000, 48, 0.81000, 1.293065e-15
step05, 1000, 48, 0.37000, 1.293065e-15
atlas, 1500, 48, 0.50000, 0.000000e+00
my_dgemm, 1500, 48, 22.48000, 1.895882e-15
step01, 1500, 48, 2.55000, 1.895882e-15
step02, 1500, 48, 2.51000, 1.895882e-15
step03, 1500, 48, 3.06000, 1.895882e-15
step04, 1500, 48, 2.79000, 1.895882e-15
step05, 1500, 48, 1.32000, 1.895882e-15
atlas, 2000, 48, 1.18000, 0.000000e+00
my_dgemm, 2000, 48, 59.33000, 3.054004e-15
step01, 2000, 48, 6.05000, 3.054004e-15
step02, 2000, 48, 5.92000, 3.054004e-15
step03, 2000, 48, 7.23000, 3.054004e-15
step04, 2000, 48, 6.59000, 3.054004e-15
step05, 2000, 48, 3.00000, 3.054004e-15
atlas, 2500, 48, 2.29000, 0.000000e+00
my_dgemm, 2500, 48, 130.56000, 4.163602e-15
step01, 2500, 48, 11.82000, 4.163602e-15
step02, 2500, 48, 11.54000, 4.163602e-15
step03, 2500, 48, 14.05000, 4.163602e-15
step04, 2500, 48, 12.77000, 4.163602e-15
step05, 2500, 48, 5.89000, 4.163602e-15
atlas, 3000, 48, 3.96000, 0.000000e+00
my_dgemm, 3000, 48, 231.49000, 4.884417e-15
step01, 3000, 48, 20.46000, 4.884417e-15
step02, 3000, 48, 20.14000, 4.884417e-15
step03, 3000, 48, 24.25000, 4.884417e-15
step04, 3000, 48, 22.20000, 4.884417e-15
step05, 3000, 48, 10.13000, 4.884417e-15
atlas, 3500, 48, 6.27000, 0.000000e+00
my_dgemm, 3500, 48, 378.04000, 4.991261e-15
step01, 3500, 48, 32.67000, 4.991261e-15
step02, 3500, 48, 31.65000, 4.991261e-15
step03, 3500, 48, 40.29000, 4.991261e-15
step04, 3500, 48, 36.06000, 4.991261e-15
step05, 3500, 48, 17.33000, 4.991261e-15
atlas, 4000, 48, 9.35000, 0.000000e+00
my_dgemm, 4000, 48, 557.41000, 7.503540e-15
step01, 4000, 48, 49.52000, 7.503540e-15
step02, 4000, 48, 47.13000, 7.503540e-15
step03, 4000, 48, 57.82000, 7.503540e-15
step04, 4000, 48, 53.40000, 7.503540e-15
step05, 4000, 48, 24.17000, 7.503540e-15
atlas, 4500, 48, 13.30000, 0.000000e+00
my_dgemm, 4500, 48, 828.85000, 8.565339e-15
step01, 4500, 48, 71.82000, 8.565339e-15
step02, 4500, 48, 67.43000, 8.565339e-15
step03, 4500, 48, 82.66000, 8.565339e-15
step04, 4500, 48, 74.88000, 8.565339e-15
step05, 4500, 48, 35.67000, 8.565339e-15
atlas, 5000, 48, 18.22000, 0.000000e+00
my_dgemm, 5000, 48, 1174.50000, 7.517267e-15
step01, 5000, 48, 98.80000, 7.517267e-15
step02, 5000, 48, 93.00000, 7.517267e-15
step03, 5000, 48, 112.18000, 7.517267e-15
step04, 5000, 48, 102.89000, 7.517267e-15
step05, 5000, 48, 46.52000, 7.517267e-15
