Iteration #, Size of Array, Time (Seconds)
1, 500, 0.14
2, 1000, 6.61
3, 1500, 23.46
4, 2000, 59.47
5, 2500, 122.34
6, 3000, 228.04
7, 3500, 392.78
8, 4000, 595.60
9, 4500, 844.30
10, 5000, 1199.90
