Step #, Size of Array, Size of Tiles, Time (Seconds), Error
atlas, 500, 48, 0.03000, 0.000000e+00
my_dgemm, 500, 48, 0.58000, 7.217074e-16
step01, 500, 48, 0.48000, 7.217074e-16
step02, 500, 48, 0.48000, 7.217074e-16
step03, 500, 48, 0.38000, 7.217074e-16
step04, 500, 48, 0.32000, 7.217074e-16
step05, 500, 48, 0.27000, 7.217074e-16
atlas, 1000, 48, 0.16000, 0.000000e+00
my_dgemm, 1000, 48, 6.51000, 1.293065e-15
step01, 1000, 48, 3.84000, 1.293065e-15
step02, 1000, 48, 3.86000, 1.293065e-15
step03, 1000, 48, 2.99000, 1.293065e-15
step04, 1000, 48, 2.56000, 1.293065e-15
step05, 1000, 48, 2.18000, 1.293065e-15
atlas, 1500, 48, 0.51000, 0.000000e+00
my_dgemm, 1500, 48, 24.11000, 1.895882e-15
step01, 1500, 48, 12.98000, 1.895882e-15
step02, 1500, 48, 12.98000, 1.895882e-15
step03, 1500, 48, 10.17000, 1.895882e-15
step04, 1500, 48, 8.75000, 1.895882e-15
step05, 1500, 48, 7.40000, 1.895882e-15
atlas, 2000, 48, 1.18000, 0.000000e+00
my_dgemm, 2000, 48, 60.30000, 3.054004e-15
step01, 2000, 48, 30.84000, 3.054004e-15
step02, 2000, 48, 30.97000, 3.054004e-15
step03, 2000, 48, 23.94000, 3.054004e-15
step04, 2000, 48, 20.62000, 3.054004e-15
step05, 2000, 48, 17.55000, 3.054004e-15
atlas, 2500, 48, 2.29000, 0.000000e+00
my_dgemm, 2500, 48, 138.76000, 4.163602e-15
step01, 2500, 48, 60.08000, 4.163602e-15
step02, 2500, 48, 60.08000, 4.163602e-15
step03, 2500, 48, 46.92000, 4.163602e-15
step04, 2500, 48, 40.35000, 4.163602e-15
step05, 2500, 48, 34.15000, 4.163602e-15
atlas, 3000, 48, 3.96000, 0.000000e+00
my_dgemm, 3000, 48, 231.40000, 4.884417e-15
step01, 3000, 48, 104.14000, 4.884417e-15
step02, 3000, 48, 103.95000, 4.884417e-15
step03, 3000, 48, 80.53000, 4.884417e-15
step04, 3000, 48, 69.15000, 4.884417e-15
step05, 3000, 48, 59.20000, 4.884417e-15
atlas, 3500, 48, 6.25000, 0.000000e+00
my_dgemm, 3500, 48, 388.52000, 4.991261e-15
step01, 3500, 48, 165.35000, 4.991261e-15
step02, 3500, 48, 164.35000, 4.991261e-15
step03, 3500, 48, 132.61000, 4.991261e-15
step04, 3500, 48, 111.87000, 4.991261e-15
step05, 3500, 48, 94.33000, 4.991261e-15
atlas, 4000, 48, 9.35000, 0.000000e+00
my_dgemm, 4000, 48, 628.23000, 7.503540e-15
step01, 4000, 48, 248.71000, 7.503540e-15
step02, 4000, 48, 247.82000, 7.503540e-15
step03, 4000, 48, 193.64000, 7.503540e-15
step04, 4000, 48, 165.97000, 7.503540e-15
step05, 4000, 48, 140.65000, 7.503540e-15
atlas, 4500, 48, 13.31000, 0.000000e+00
my_dgemm, 4500, 48, 877.53000, 8.565339e-15
step01, 4500, 48, 353.88000, 8.565339e-15
step02, 4500, 48, 350.13000, 8.565339e-15
step03, 4500, 48, 274.98000, 8.565339e-15
step04, 4500, 48, 235.48000, 8.565339e-15
step05, 4500, 48, 199.74000, 8.565339e-15
atlas, 5000, 48, 18.26000, 0.000000e+00
my_dgemm, 5000, 48, 1243.47000, 7.517267e-15
step01, 5000, 48, 486.15000, 7.517267e-15
step02, 5000, 48, 483.00000, 7.517267e-15
step03, 5000, 48, 372.78000, 7.517267e-15
step04, 5000, 48, 320.91000, 7.517267e-15
step05, 5000, 48, 274.34000, 7.517267e-15
