Iteration #, Size of Array, Time (Seconds)
1, 500, 0.03
2, 1000, 0.17
3, 1500, 0.58
4, 2000, 1.33
5, 2500, 2.49
6, 3000, 4.44
7, 3500, 7.01
8, 4000, 10.50
9, 4500, 14.45
10, 5000, 20.28
