Step #, Size of Array, Size of Tiles, Time (Seconds), Error
atlas, 500, 47, 0.02000, 0.0000000000
my_dgemm, 500, 47, 0.30000, 0.0000000000
step01, 500, 47, 0.14000, 0.0000000000
step02, 500, 47, 0.15000, 0.0000000000
step03, 500, 47, 0.11000, 0.0000000000
step04, 500, 47, 0.10000, 0.0000000000
step05, 500, 47, 0.05000, 0.0013849106
atlas, 1000, 47, 0.16000, 0.0000000000
my_dgemm, 1000, 47, 6.55000, 0.0000000000
step01, 1000, 47, 1.18000, 0.0000000000
step02, 1000, 47, 1.19000, 0.0000000000
step03, 1000, 47, 0.97000, 0.0000000000
step04, 1000, 47, 0.86000, 0.0000000000
step05, 1000, 47, 0.49000, 0.0020787774
atlas, 1500, 47, 0.51000, 0.0000000000
my_dgemm, 1500, 47, 23.81000, 0.0000000000
step01, 1500, 47, 4.03000, 0.0000000000
step02, 1500, 47, 4.03000, 0.0000000000
step03, 1500, 47, 3.30000, 0.0000000000
step04, 1500, 47, 2.93000, 0.0000000000
step05, 1500, 47, 1.72000, 0.0011189515
atlas, 2000, 47, 1.18000, 0.0000000000
my_dgemm, 2000, 47, 61.89000, 0.0000000000
step01, 2000, 47, 9.54000, 0.0000000000
step02, 2000, 47, 9.51000, 0.0000000000
step03, 2000, 47, 7.76000, 0.0000000000
step04, 2000, 47, 6.93000, 0.0000000000
step05, 2000, 47, 3.94000, 0.0030868100
atlas, 2500, 47, 2.29000, 0.0000000000
my_dgemm, 2500, 47, 128.23000, 0.0000000000
step01, 2500, 47, 18.65000, 0.0000000000
step02, 2500, 47, 18.61000, 0.0000000000
step03, 2500, 47, 15.17000, 0.0000000000
step04, 2500, 47, 13.52000, 0.0000000000
step05, 2500, 47, 7.72000, 0.0011154530
atlas, 3000, 47, 3.95000, 0.0000000000
my_dgemm, 3000, 47, 237.60000, 0.0000000000
step01, 3000, 47, 32.32000, 0.0000000000
step02, 3000, 47, 32.28000, 0.0000000000
step03, 3000, 47, 26.10000, 0.0000000000
step04, 3000, 47, 23.32000, 0.0000000000
step05, 3000, 47, 13.33000, 0.0019778338
atlas, 3500, 47, 6.25000, 0.0000000000
my_dgemm, 3500, 47, 408.57000, 0.0000000000
step01, 3500, 47, 51.63000, 0.0000000000
step02, 3500, 47, 51.24000, 0.0000000000
step03, 3500, 47, 44.44000, 0.0000000000
step04, 3500, 47, 37.99000, 0.0000000000
step05, 3500, 47, 22.27000, 0.0011002015
atlas, 4000, 47, 9.34000, 0.0000000000
my_dgemm, 4000, 47, 637.07000, 0.0000000000
step01, 4000, 47, 77.61000, 0.0000000000
step02, 4000, 47, 75.79000, 0.0000000000
step03, 4000, 47, 61.89000, 0.0000000000
step04, 4000, 47, 56.15000, 0.0000000000
step05, 4000, 47, 32.22000, 0.0042995451
atlas, 4500, 47, 13.28000, 0.0000000000
my_dgemm, 4500, 47, 930.27000, 0.0000000000
step01, 4500, 47, 111.31000, 0.0000000000
step02, 4500, 47, 108.90000, 0.0000000000
step03, 4500, 47, 88.87000, 0.0000000000
step04, 4500, 47, 78.99000, 0.0000000000
step05, 4500, 47, 46.16000, 0.0010980121
atlas, 5000, 47, 18.22000, 0.0000000000
my_dgemm, 5000, 47, 1263.97000, 0.0000000000
step01, 5000, 47, 156.40000, 0.0000000000
step02, 5000, 47, 149.56000, 0.0000000000
step03, 5000, 47, 121.22000, 0.0000000000
step04, 5000, 47, 108.62000, 0.0000000000
step05, 5000, 47, 61.59000, 0.0019802941
