Iteration #, Size of Array, Time (Seconds)
1, 500, 0.30
2, 1000, 6.54
3, 1500, 24.18
4, 2000, 61.72
5, 2500, 130.55
6, 3000, 240.62
7, 3500, 407.95
8, 4000, 620.71
9, 4500, 930.51
10, 5000, 1279.45
