Iteration #, Size of Array, Time (Seconds)
1, 500, 0.02
2, 1000, 0.15
3, 1500, 0.50
4, 2000, 1.17
5, 2500, 2.28
6, 3000, 3.94
7, 3500, 6.23
8, 4000, 9.34
9, 4500, 13.29
10, 5000, 18.23
