Iteration #, Size of Array, Time (Seconds)
1, 500, 0.58
2, 1000, 6.48
3, 1500, 24.72
4, 2000, 62.06
5, 2500, 128.57
6, 3000, 233.09
7, 3500, 405.58
8, 4000, 607.36
9, 4500, 893.55
10, 5000, 1222.31
