Iteration #, Size of Array, Size of Tiles, Time (Seconds), Error
1, 500, 16, 0.50000, 0.0000000000
1, 500, 17, 0.50000, 0.0000000000
1, 500, 18, 0.50000, 0.0000000000
1, 500, 19, 0.51000, 0.0000000000
1, 500, 20, 0.50000, 0.0000000000
1, 500, 21, 0.49000, 0.0000000000
1, 500, 22, 0.49000, 0.0000000000
1, 500, 23, 0.49000, 0.0000000000
1, 500, 24, 0.49000, 0.0000000000
1, 500, 25, 0.49000, 0.0000000000
1, 500, 26, 0.48000, 0.0000000000
1, 500, 27, 0.49000, 0.0000000000
1, 500, 28, 0.49000, 0.0000000000
1, 500, 29, 0.49000, 0.0000000000
1, 500, 30, 0.49000, 0.0000000000
1, 500, 31, 0.48000, 0.0000000000
1, 500, 32, 0.48000, 0.0000000000
1, 500, 33, 0.49000, 0.0000000000
1, 500, 34, 0.48000, 0.0000000000
1, 500, 35, 0.48000, 0.0000000000
1, 500, 36, 0.49000, 0.0000000000
1, 500, 37, 0.49000, 0.0000000000
1, 500, 38, 0.50000, 0.0000000000
1, 500, 39, 0.48000, 0.0000000000
1, 500, 40, 0.49000, 0.0000000000
1, 500, 41, 0.48000, 0.0000000000
1, 500, 42, 0.49000, 0.0000000000
1, 500, 43, 0.48000, 0.0000000000
1, 500, 44, 0.48000, 0.0000000000
1, 500, 45, 0.48000, 0.0000000000
1, 500, 46, 0.48000, 0.0000000000
1, 500, 47, 0.48000, 0.0000000000
1, 500, 48, 0.49000, 0.0000000000
1, 500, 49, 0.48000, 0.0000000000
1, 500, 50, 0.48000, 0.0000000000
1, 500, 51, 0.48000, 0.0000000000
1, 500, 52, 0.49000, 0.0000000000
1, 500, 53, 0.47000, 0.0000000000
1, 500, 54, 0.48000, 0.0000000000
1, 500, 55, 0.48000, 0.0000000000
1, 500, 56, 0.48000, 0.0000000000
1, 500, 57, 0.48000, 0.0000000000
1, 500, 58, 0.49000, 0.0000000000
1, 500, 59, 0.48000, 0.0000000000
1, 500, 60, 0.48000, 0.0000000000
1, 500, 61, 0.48000, 0.0000000000
1, 500, 62, 0.48000, 0.0000000000
1, 500, 63, 0.48000, 0.0000000000
1, 500, 64, 0.48000, 0.0000000000
2, 1000, 16, 4.04000, 0.0000000000
2, 1000, 17, 4.00000, 0.0000000000
2, 1000, 18, 4.02000, 0.0000000000
2, 1000, 19, 4.21000, 0.0000000000
2, 1000, 20, 4.01000, 0.0000000000
2, 1000, 21, 3.96000, 0.0000000000
2, 1000, 22, 3.98000, 0.0000000000
2, 1000, 23, 3.96000, 0.0000000000
2, 1000, 24, 3.99000, 0.0000000000
2, 1000, 25, 3.95000, 0.0000000000
2, 1000, 26, 3.93000, 0.0000000000
2, 1000, 27, 3.93000, 0.0000000000
2, 1000, 28, 3.93000, 0.0000000000
2, 1000, 29, 3.92000, 0.0000000000
2, 1000, 30, 3.92000, 0.0000000000
2, 1000, 31, 3.91000, 0.0000000000
